Project Name,Budget,Actual Cost,Team Size,Progress,Status,Start Date,End Date,Priority,Department,Hours Worked,Tasks Completed,Tasks Total,Client Satisfaction
Website Redesign,50000,45000,5,85,In Progress,2024-01-15,2024-06-30,High,Marketing,1200,17,20,4.2
Mobile App Development,120000,98000,8,60,In Progress,2024-02-01,2024-08-15,High,Engineering,2400,24,40,4.5
Database Migration,75000,82000,6,90,Nearly Complete,2024-01-01,2024-05-30,Critical,IT,1800,27,30,3.8
Marketing Campaign,30000,28000,4,100,Completed,2024-03-01,2024-04-30,Medium,Marketing,800,15,15,4.7
Security Audit,40000,35000,3,75,In Progress,2024-02-15,2024-07-15,High,Security,900,12,16,4.1
Customer Portal,80000,70000,7,45,In Progress,2024-04-01,2024-09-30,Medium,Engineering,1400,18,40,3.9
Data Analytics Platform,150000,140000,10,30,In Progress,2024-01-15,2024-12-31,High,Data Science,2000,15,50,4.3
Training Program,25000,22000,3,100,Completed,2024-02-01,2024-03-31,Low,HR,600,12,12,4.6
Infrastructure Upgrade,90000,95000,5,80,In Progress,2024-03-15,2024-08-30,Critical,IT,1600,20,25,3.7
Content Management System,60000,55000,6,95,Nearly Complete,2024-01-30,2024-06-15,Medium,Engineering,1300,19,20,4.4
Social Media Integration,35000,30000,4,70,In Progress,2024-03-01,2024-07-31,Low,Marketing,700,14,20,4.0
API Development,45000,48000,5,85,In Progress,2024-02-15,2024-06-30,High,Engineering,1100,17,20,4.2
Quality Assurance,20000,18000,3,90,Nearly Complete,2024-04-01,2024-05-31,Medium,QA,500,18,20,4.5
User Experience Research,30000,32000,4,100,Completed,2024-01-15,2024-03-15,Medium,UX,650,10,10,4.8
Cloud Migration,100000,105000,8,65,In Progress,2024-02-01,2024-09-30,Critical,IT,2200,26,40,3.6
